x,y,z,Status
0.988,-0.121,-0.152,OFF
0.965,-0.086,-0.117,OFF
1.020,0.035,-0.129,OFF
0.973,-0.09,-0.152,OFF
0.969,-0.09,-0.113,OFF
0.98,0.023,-0.133,OFF
0.973,0.102,-0.152,ON
1.070,0.117,-0.152,ON
0.988,0.023,-0.141,OFF
0.992,-0.035,-0.121,OFF
0.973,-0.133,-0.121,OFF
1.004,0.059,-0.141,OFF
0.984,-0.035,-0.133,OFF
0.969,-0.129,-0.152,OFF
1.004,0.078,-0.141,OFF
0.996,-0.055,-0.125,OFF
0.988,-0.086,-0.137,OFF
1.000,0.098,-0.129,ON
1.035,-0.027,-0.129,OFF
0.98,-0.09,-0.141,OFF
1.004,0.113,-0.133,ON
1.016,-0.023,-0.152,OFF
0.969,-0.121,-0.152,OFF
1.016,0.082,-0.125,OFF
1.004,0.02,-0.125,OFF
1.000,0.156,-0.121,ON
1.012,0.07,-0.121,OFF
0.984,-0.043,-0.141,OFF
0.973,-0.094,-0.121,OFF
1.047,0.094,-0.121,ON
0.98,-0.004,-0.133,OFF
0.977,-0.078,-0.109,OFF
1.051,0.113,-0.121,ON
0.988,0.012,-0.133,OFF
1.031,0.082,-0.121,OFF
1.012,0.078,-0.148,OFF
0.98,-0.035,-0.117,OFF
0.992,0.016,-0.117,OFF
0.977,-0.035,-0.129,OFF
1.008,-0.02,-0.125,OFF
0.969,0.082,-0.125,OFF
0.961,-0.031,-0.117,OFF
1.020,0.008,-0.125,OFF
0.957,-0.141,-0.152,OFF
0.98,-0.023,-0.113,OFF
1.016,0.027,-0.125,OFF
0.98,-0.125,-0.164,OFF
0.977,-0.07,-0.117,OFF
1.012,0.027,-0.121,OFF
0.992,-0.105,-0.16,OFF
0.965,-0.094,-0.125,OFF
1.000,0.008,-0.129,OFF
0.992,-0.055,-0.145,OFF
0.973,-0.105,-0.133,OFF
1.016,0.078,-0.125,OFF
0.977,0.09,-0.145,OFF
1.047,0.113,-0.113,ON
0.996,0.039,-0.137,OFF
1.027,-0.027,-0.148,OFF
0.969,-0.133,-0.152,OFF
0.992,0.059,-0.137,OFF
1.000,-0.047,-0.121,OFF
0.977,-0.109,-0.148,OFF
1.012,0.09,-0.145,OFF
1.027,-0.063,-0.117,OFF
0.977,-0.023,-0.145,OFF
1.004,0.094,-0.133,ON
1.027,-0.023,-0.125,OFF
0.969,-0.133,-0.141,OFF
1.000,0.098,-0.133,ON
1.020,-0.023,-0.125,OFF
0.949,-0.152,-0.156,OFF
1.000,0.07,-0.125,OFF
1.023,0.02,-0.121,OFF
0.988,0.152,-0.121,ON
1.027,0.063,-0.125,OFF
0.98,-0.047,-0.145,OFF
0.98,-0.094,-0.117,OFF
1.016,0.074,-0.121,OFF
0.984,0.012,-0.129,OFF
1.031,0.098,-0.129,ON
1.000,0.039,-0.141,OFF
0.984,-0.078,-0.121,OFF
0.969,0.074,-0.121,OFF
0.957,0.016,-0.129,OFF
1.039,0.102,-0.125,ON
1.023,0.027,-0.113,OFF
1.023,0.008,-0.125,OFF
0.988,0.152,-0.16,ON
1.031,0.066,-0.133,OFF
0.977,-0.035,-0.137,OFF
0.977,0.137,-0.121,ON
0.984,-0.098,-0.133,OFF
0.996,-0.043,-0.125,OFF
0.977,-0.082,-0.109,OFF
1.031,0.098,-0.125,ON
0.996,-0.023,-0.148,OFF
0.984,-0.055,-0.117,OFF
1.043,0.102,-0.125,ON
0.988,-0.004,-0.141,OFF
0.949,-0.02,-0.125,OFF
1.039,0.098,-0.113,ON
0.984,0.027,-0.141,OFF
1.039,0.102,-0.121,ON
0.984,0.047,-0.125,OFF
0.992,-0.023,-0.133,OFF
0.969,0.113,-0.113,ON
0.973,-0.023,-0.113,OFF
1.004,-0.008,-0.129,OFF
0.957,0.09,-0.113,OFF
0.969,-0.063,-0.125,OFF
1.000,-0.004,-0.125,OFF
0.957,-0.125,-0.121,OFF
0.996,0.152,-0.125,ON
0.977,0.031,-0.129,OFF
0.977,-0.113,-0.145,OFF
0.965,-0.078,-0.125,OFF
1.023,0.039,-0.129,OFF
0.98,-0.066,-0.152,OFF
0.98,-0.082,-0.125,OFF
1.016,0.063,-0.121,OFF
1.039,0.012,-0.125,OFF
1.023,0.082,-0.121,OFF
0.996,-0.008,-0.141,OFF
0.977,0.113,-0.125,ON
0.98,-0.078,-0.121,OFF
0.992,0.02,-0.137,OFF
0.988,-0.086,-0.125,OFF
0.992,-0.027,-0.152,OFF
0.984,0.035,-0.141,OFF
0.992,-0.07,-0.121,OFF
0.957,-0.145,-0.156,OFF
0.988,0.043,-0.133,OFF
1.031,-0.055,-0.133,OFF
0.957,-0.141,-0.141,OFF
0.969,0.051,-0.117,OFF
1.020,-0.035,-0.125,OFF
0.961,-0.156,-0.145,OFF
1.008,0.09,-0.129,OFF
1.020,-0.023,-0.121,OFF
0.949,-0.145,-0.16,OFF
1.004,0.133,-0.137,ON
0.996,-0.004,-0.133,OFF
0.965,-0.129,-0.152,OFF
0.996,0.148,-0.129,ON
1.016,0.004,-0.125,OFF
0.984,0.113,-0.125,ON
1.023,0.078,-0.125,OFF
0.973,-0.07,-0.137,OFF
0.996,-0.02,-0.137,OFF
1.023,0.09,-0.141,OFF
0.965,-0.035,-0.152,OFF
0.973,-0.094,-0.125,OFF
1.047,0.074,-0.129,OFF
0.988,-0.031,-0.148,OFF
0.973,-0.094,-0.121,OFF
1.004,0.023,-0.109,OFF
0.953,0.004,-0.148,OFF
1.066,0.109,-0.121,ON
0.98,0.086,-0.133,OFF
1.016,-0.016,-0.129,OFF
0.988,-0.16,-0.145,OFF
1.027,0.121,-0.121,ON
1.023,-0.012,-0.137,OFF
0.98,-0.125,-0.125,OFF
0.992,0.129,-0.125,ON
1.008,0.008,-0.125,OFF
0.992,0.121,-0.156,ON
1.035,0.055,-0.113,OFF
0.984,-0.09,-0.156,OFF
1.000,0.082,-0.133,OFF
0.984,-0.07,-0.113,OFF
0.984,-0.059,-0.152,OFF
0.98,0.09,-0.125,OFF
0.992,-0.07,-0.129,OFF
0.934,-0.023,-0.125,OFF
0.973,-0.105,-0.117,OFF
1.008,0.047,-0.129,OFF
0.988,-0.016,-0.145,OFF
0.965,-0.102,-0.117,OFF
1.004,0.074,-0.125,OFF
0.992,-0.004,-0.141,OFF
0.961,-0.102,-0.109,OFF
1.051,0.113,-0.117,ON
0.973,0.012,-0.133,OFF
1.008,-0.07,-0.117,OFF
0.977,-0.164,-0.16,OFF
1.023,0.016,-0.125,OFF
1.035,0.082,-0.109,OFF
1.043,0.125,-0.16,ON
1.000,-0.02,-0.129,OFF
0.988,0.043,-0.133,OFF
0.977,-0.059,-0.121,OFF
1.008,0.008,-0.125,OFF
1.004,-0.047,-0.129,OFF
0.961,-0.055,-0.121,OFF
1.027,0.02,-0.121,OFF
0.984,-0.121,-0.156,OFF
0.973,-0.039,-0.117,OFF
1.020,0.047,-0.129,OFF
0.977,-0.109,-0.156,OFF
