estimated_x,estimated_y,estimated_z,Status
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.075.134,131.531.479,157.150.269,None
143.075.134,131.531.479,157.150.269,None
143.075.134,131.531.479,157.150.269,None
143.075.134,131.531.479,157.150.269,None
143.075.134,131.531.479,157.150.269,None
143.075.134,131.531.479,157.150.269,None
143.075.134,131.531.479,157.150.269,None
143.075.134,131.531.479,157.150.269,None
143.075.134,131.531.479,157.150.269,None
143.075.134,131.531.479,157.150.269,None
143.075.134,131.531.479,157.150.269,None
143.075.134,131.531.479,157.150.269,None
143.075.134,131.531.479,157.150.269,None
143.075.134,131.531.479,157.150.269,None
143.075.134,131.531.479,157.150.269,None
143.075.134,131.531.479,157.150.269,None
143.075.134,131.531.479,157.150.269,None
143.075.134,131.531.479,157.150.269,None
143.075.134,131.531.479,157.150.269,None
143.075.134,131.531.479,157.150.269,None
143.075.134,131.531.479,157.150.269,None
143.075.134,131.531.479,157.150.269,None
143.075.134,131.531.479,160.276.108,None
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.292.938,GPIO_Pin_12
208.146.469,133.073.395,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
208.154.480,134.034.851,160.308.945,GPIO_Pin_12
143.593.460,131.581.955,158.145.554,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.508.911,132.428.894,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.636.536,131.639.191,157.273.285,None
143.636.642,131.639.343,157.273.285,None
143.636.642,131.639.343,157.273.285,None
143.636.642,131.639.343,157.273.285,None
143.636.642,131.639.343,157.273.285,None
143.636.642,131.639.343,157.273.285,None
143.636.642,131.639.343,157.273.285,None
143.636.642,131.639.343,157.273.285,None
143.636.642,131.639.343,157.273.285,None
143.636.642,131.639.343,157.273.285,None
143.636.642,131.639.343,157.273.285,None
143.636.642,131.639.343,157.273.285,None
143.636.642,131.639.343,157.273.285,None
143.636.642,131.639.343,157.273.285,None
143.636.642,131.639.343,157.273.285,None
143.636.642,131.639.343,157.273.285,None
143.636.642,131.639.343,157.273.285,None
143.636.642,131.639.343,157.273.285,None
143.636.642,131.639.343,157.273.285,None
143.636.642,131.639.343,157.273.285,None
143.636.642,131.639.343,157.273.285,None
143.636.642,131.639.343,157.273.285,None
144.132.080,131.649.765,158.264.343,None
144.132.172,131.649.780,158.264.343,None
144.132.172,131.649.780,158.264.343,None
144.132.172,131.649.780,158.264.343,None
144.132.172,131.649.780,158.264.343,None
144.132.172,131.649.780,158.264.343,None
144.132.172,131.649.780,158.264.343,None
144.132.172,131.649.780,158.264.343,None
144.132.172,131.649.780,158.264.343,None
144.132.172,131.649.780,158.264.343,None
144.132.172,131.649.780,158.264.343,None
144.132.172,131.649.780,158.264.343,None
144.132.172,131.649.780,158.264.343,None
144.132.172,131.649.780,158.264.343,None
144.132.172,131.649.780,158.264.343,None
144.132.172,131.649.780,158.264.343,None
144.132.172,131.649.780,158.264.343,None
144.132.172,131.649.780,158.264.343,None
144.132.172,131.649.780,158.264.343,None
144.132.172,131.649.780,158.264.343,None
144.132.172,131.649.780,158.264.343,None
144.132.172,131.649.780,158.264.343,None
144.132.172,131.649.780,158.264.343,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
