estimated_x,estimated_y,estimated_z,GPIO_Pin_12,GPIO_Pin_13,GPIO_Pin_14,GPIO_Pin_15
143.075.134,131.531.479,157.150.269,OFF,OFF,OFF,ON
143.075.134,131.531.479,157.150.269,OFF,OFF,OFF,ON
143.075.134,131.531.479,157.150.269,OFF,OFF,OFF,ON
143.075.134,131.531.479,157.150.269,OFF,OFF,OFF,ON
143.075.134,131.531.479,157.150.269,OFF,OFF,OFF,ON
143.075.134,131.531.479,157.150.269,OFF,OFF,OFF,ON
143.075.134,131.531.479,157.150.269,OFF,OFF,OFF,ON
143.075.134,131.531.479,157.150.269,OFF,OFF,OFF,ON
143.075.134,131.531.479,157.150.269,OFF,OFF,OFF,ON
143.075.134,131.531.479,157.150.269,OFF,OFF,OFF,ON
143.075.134,131.531.479,157.150.269,OFF,OFF,OFF,ON
143.075.134,131.531.479,157.150.269,OFF,OFF,OFF,ON
143.075.134,131.531.479,157.150.269,OFF,OFF,OFF,ON
143.075.134,131.531.479,157.150.269,OFF,OFF,OFF,ON
143.075.134,131.531.479,157.150.269,OFF,OFF,OFF,ON
143.075.134,131.531.479,157.150.269,OFF,OFF,OFF,ON
143.075.134,131.531.479,157.150.269,OFF,OFF,OFF,ON
143.075.134,131.531.479,157.150.269,OFF,OFF,OFF,ON
143.075.134,131.531.479,157.150.269,OFF,OFF,OFF,ON
143.075.134,131.531.479,157.150.269,OFF,OFF,OFF,ON
143.075.134,131.531.479,157.150.269,OFF,OFF,OFF,ON
143.075.134,131.531.479,157.150.269,OFF,OFF,OFF,ON
143.075.134,131.531.479,160.276.108,OFF,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.292.938,ON,OFF,OFF,ON
208.146.469,133.073.395,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
